paris_id,hour,time_idx,month,day,maxspeed,length,lanes,q
5169,0,1337.9399771401277,1.843819988787779,8.580936735552074,0.0,0.0,0.0,954.3031212568702
5169,1,1354.7790841011786,1.8746340166699431,8.58881736736219,0.0,0.0,0.0,894.6680755428127
5169,2,1357.3031412115927,1.8744696219561316,8.556775624667804,0.0,0.0,0.0,790.8382641017901
5169,3,1364.1756751706407,1.8855443112716486,8.519739760584487,0.0,0.0,0.0,624.9908666512933
5169,4,1366.9869591526854,1.8883700798417562,8.452741044704442,0.0,0.0,0.0,464.0668455194678
5169,5,1360.2207945568073,1.8809242402458708,8.56619048342984,0.0,0.0,0.0,434.09141594504734
5169,6,1361.6120911979854,1.8833467747315216,8.534496790554222,0.0,0.0,0.0,381.79559778673024
5169,7,1347.6899785388098,1.8622501308356392,8.672562557066136,0.0,0.0,0.0,1163.8487726006417
5169,8,1352.717092459748,1.8704679708509535,8.645622187077969,0.0,0.0,0.0,1147.6186988657494
5169,9,1347.4540209074326,1.8666551586697764,8.60282874154845,0.0,0.0,0.0,745.5929552203029
5169,10,1336.5202790616306,1.8406481706944189,8.663602029499126,0.0,0.0,0.0,617.3919953846981
5169,11,1353.9299765941767,1.876465384730463,8.54709249730892,0.0,0.0,0.0,550.5877025652288
5169,12,1381.8185221734825,1.9280413750834406,8.672266739865758,0.0,0.0,0.0,460.3344851734551
5169,13,1365.817196013423,1.9067108894589129,8.637197177796255,0.0,0.0,0.0,429.6750696877392
5169,14,1349.506802193189,1.8839416638299749,8.629568222604078,0.0,0.0,0.0,444.5403356805808
5169,15,1350.768663722178,1.8833592468629343,8.692509603800525,0.0,0.0,0.0,434.08713595467236
5169,16,1360.8319019048386,1.8918372085883617,8.549869422171238,0.0,0.0,0.0,396.8590556762542
5169,17,1347.659658126353,1.8760795594065043,8.768195678074104,0.0,0.0,0.0,459.7266909786075
5169,18,1351.6667614474156,1.872016661748965,8.819539547290056,0.0,0.0,0.0,638.0440273135297
5169,19,1352.8721601482755,1.8764690708263094,8.793666552045938,0.0,0.0,0.0,790.6788450657642
5169,20,1342.7441785679105,1.8631105461971709,8.685166522747979,0.0,0.0,0.0,699.120150838908
5169,21,1344.2208893601146,1.863110546197171,8.762941732684547,0.0,0.0,0.0,472.47141999362873
5169,22,1357.0659864125928,1.8771202977243622,8.675808622306153,0.0,0.0,0.0,441.2252560332544
5169,23,1363.3000095718871,1.8892982053075018,8.735864862743556,0.0,0.0,0.0,876.1957008392659
5173,0,1344.0768804840106,1.8699279304431808,8.68766333897002,0.0,0.0,0.0,960.2848262259538
5173,1,1351.1849536457796,1.8853526818297428,8.59256087112018,0.0,0.0,0.0,897.8997780428261
5173,2,1361.0769729577344,1.8973152263728137,8.630973669780449,0.0,0.0,0.0,822.1596253746667
5173,3,1368.5827717049192,1.9035794157417352,8.630360622700612,0.0,0.0,0.0,663.4315012392282
5173,4,1364.5041086990693,1.9000725484104704,8.639537256706811,0.0,0.0,0.0,469.1067181703769
5173,5,1357.649092214782,1.8888666994727195,8.69581044688175,0.0,0.0,0.0,431.1685836025396
5173,6,1364.975498479308,1.896645575137846,8.624373985116009,0.0,0.0,0.0,354.29352060003123
5173,7,1360.8806851110828,1.888898821914007,8.735448491060733,0.0,0.0,0.0,983.7754042967789
5173,8,1352.536664828408,1.8760723029120312,8.791588956136241,0.0,0.0,0.0,1000.0052298017013
5173,9,1355.3057526286436,1.8866472541707107,8.724095220753677,0.0,0.0,0.0,555.8409812327136
5173,10,1354.4100718048858,1.8815154133374956,8.732932194069184,0.0,0.0,0.0,532.7918492065141
5173,11,1352.4436223739926,1.8857901770049774,8.61436558262797,0.0,0.0,0.0,537.3311456893875
5173,12,1365.2770289011114,1.9047698066054746,8.682801222153799,0.0,0.0,0.0,531.779880376905
5173,13,1364.938853134555,1.9009907261479388,8.740421866938243,0.0,0.0,0.0,553.5509645432213
5173,14,1351.807194832668,1.8860094158483314,8.682232331953246,0.0,0.0,0.0,601.8405001075364
5173,15,1353.9285197759698,1.8860767604782107,8.68042085546358,0.0,0.0,0.0,654.7914437304514
5173,16,1348.3951030034527,1.8808294464383568,8.581508389555372,0.0,0.0,0.0,677.5349558165148
5173,17,1345.9165097943105,1.8785810492678454,8.730297893930828,0.0,0.0,0.0,829.3442986657591
5173,18,1343.49942342819,1.8634534942118908,8.803022505668752,0.0,0.0,0.0,1018.3045016270788
5173,19,1360.9992214652493,1.8909868255592603,8.757993511382798,0.0,0.0,0.0,1001.3806926502496
5173,20,1361.9891261308405,1.8949408834118533,8.69481996730305,0.0,0.0,0.0,819.150839406417
5173,21,1355.3007060451575,1.8827373618128351,8.756638658305063,0.0,0.0,0.0,542.0646891778715
5173,22,1365.606407462863,1.8971418599079122,8.723018478811827,0.0,0.0,0.0,443.3603494331469
5173,23,1363.820047794831,1.8973171230270565,8.705264524823463,0.0,0.0,0.0,862.5234538670912
5175,0,1324.628056207786,1.836001741313666,8.650186200389673,0.0,0.0,0.0,1010.1499221369918
5175,1,1351.31770209349,1.8863901706403812,8.57690802517671,0.0,0.0,0.0,935.2593869913406
5175,2,1362.9672537543333,1.8962986143069525,8.592096672535904,0.0,0.0,0.0,808.0184687974287
5175,3,1358.2920913999,1.893549842224732,8.599915186860432,0.0,0.0,0.0,628.7700184969128
5175,4,1355.2636228208105,1.8908661775339244,8.553445811474639,0.0,0.0,0.0,480.1744409867537
5175,5,1358.4460493870124,1.8965303219417964,8.501596587455804,0.0,0.0,0.0,442.81726740826576
